# split	class	original	candidates	expected
train	verb_form	сейчас нужно посмот код	сейчас нужно посмотреть код|сейчас нужно посмотри код	сейчас нужно посмотреть код
train	verb_form	нам нужно посмот отчёт	нам нужно посмотреть отчёт|нам нужно посмотри отчёт	нам нужно посмотреть отчёт
train	verb_form	здесь нужно посмот документ	здесь нужно посмотреть документ|здесь нужно посмотри документ	здесь нужно посмотреть документ
train	verb_form	всем нужно посмот результат	всем нужно посмотреть результат|всем нужно посмотри результат	всем нужно посмотреть результат
train	verb_form	ты быстро посмот код	ты быстро посмотреть код|ты быстро посмотри код	ты быстро посмотри код
train	verb_form	ты срочно посмот отчёт	ты срочно посмотреть отчёт|ты срочно посмотри отчёт	ты срочно посмотри отчёт
train	verb_form	ты сразу посмот документ	ты сразу посмотреть документ|ты сразу посмотри документ	ты сразу посмотри документ
train	verb_form	ты внимательно посмот результат	ты внимательно посмотреть результат|ты внимательно посмотри результат	ты внимательно посмотри результат
heldout	verb_form	завтра нужно посмот проект	завтра нужно посмотреть проект|завтра нужно посмотри проект	завтра нужно посмотреть проект
heldout	verb_form	сначала нужно посмот журнал	сначала нужно посмотреть журнал|сначала нужно посмотри журнал	сначала нужно посмотреть журнал
heldout	verb_form	ты спокойно посмот проект	ты спокойно посмотреть проект|ты спокойно посмотри проект	ты спокойно посмотри проект
heldout	verb_form	ты повторно посмот журнал	ты повторно посмотреть журнал|ты повторно посмотри журнал	ты повторно посмотри журнал
train	preposition_case	мы работаем в кодд сегодня	мы работаем в коде сегодня|мы работаем в код сегодня	мы работаем в коде сегодня
train	preposition_case	ошибка находится в кодд сейчас	ошибка находится в коде сейчас|ошибка находится в код сейчас	ошибка находится в коде сейчас
train	preposition_case	изменения видны в кодд сразу	изменения видны в коде сразу|изменения видны в код сразу	изменения видны в коде сразу
train	preposition_case	проблема осталась в кодд вчера	проблема осталась в коде вчера|проблема осталась в код вчера	проблема осталась в коде вчера
train	preposition_case	мы проверяем кодд сегодня	мы проверяем коде сегодня|мы проверяем код сегодня	мы проверяем код сегодня
train	preposition_case	команда читает кодд сейчас	команда читает коде сейчас|команда читает код сейчас	команда читает код сейчас
train	preposition_case	система сохраняет кодд сразу	система сохраняет коде сразу|система сохраняет код сразу	система сохраняет код сразу
train	preposition_case	редактор изменяет кодд вручную	редактор изменяет коде вручную|редактор изменяет код вручную	редактор изменяет код вручную
heldout	preposition_case	дефект обнаружен в кодд проекта	дефект обнаружен в коде проекта|дефект обнаружен в код проекта	дефект обнаружен в коде проекта
heldout	preposition_case	символ остался в кодд программы	символ остался в коде программы|символ остался в код программы	символ остался в коде программы
heldout	preposition_case	инженер анализирует кодд проекта	инженер анализирует коде проекта|инженер анализирует код проекта	инженер анализирует код проекта
heldout	preposition_case	компилятор обрабатывает кодд программы	компилятор обрабатывает коде программы|компилятор обрабатывает код программы	компилятор обрабатывает код программы
train	agreement	в отчёте логг виден	в отчёте лог виден|в отчёте логи виден	в отчёте лог виден
train	agreement	на экране логг открыт	на экране лог открыт|на экране логи открыт	на экране лог открыт
train	agreement	этот логг сохранён	этот лог сохранён|этот логи сохранён	этот лог сохранён
train	agreement	последний логг загружен	последний лог загружен|последний логи загружен	последний лог загружен
train	agreement	в отчёте логг видны	в отчёте лог видны|в отчёте логи видны	в отчёте логи видны
train	agreement	на экране логг открыты	на экране лог открыты|на экране логи открыты	на экране логи открыты
train	agreement	эти логг сохранены	эти лог сохранены|эти логи сохранены	эти логи сохранены
train	agreement	последние логг загружены	последние лог загружены|последние логи загружены	последние логи загружены
heldout	agreement	в файле логг найден	в файле лог найден|в файле логи найден	в файле лог найден
heldout	agreement	новый логг обработан	новый лог обработан|новый логи обработан	новый лог обработан
heldout	agreement	в файле логг найдены	в файле лог найдены|в файле логи найдены	в файле логи найдены
heldout	agreement	новые логг обработаны	новые лог обработаны|новые логи обработаны	новые логи обработаны
train	function_word	чай х кофе готовы	чай и кофе готовы|чай в кофе готовы	чай и кофе готовы
train	function_word	Apple х Google доступны	Apple и Google доступны|Apple в Google доступны	Apple и Google доступны
train	function_word	сервер х клиент работают	сервер и клиент работают|сервер в клиент работают	сервер и клиент работают
train	function_word	текст х таблица открыты	текст и таблица открыты|текст в таблица открыты	текст и таблица открыты
train	function_word	зайти х офис утром	зайти и офис утром|зайти в офис утром	зайти в офис утром
train	function_word	сохранить х файл сейчас	сохранить и файл сейчас|сохранить в файл сейчас	сохранить в файл сейчас
train	function_word	добавить х список позже	добавить и список позже|добавить в список позже	добавить в список позже
train	function_word	вставить х документ сегодня	вставить и документ сегодня|вставить в документ сегодня	вставить в документ сегодня
heldout	function_word	ключ х значение записаны	ключ и значение записаны|ключ в значение записаны	ключ и значение записаны
heldout	function_word	Linux х Windows доступны	Linux и Windows доступны|Linux в Windows доступны	Linux и Windows доступны
heldout	function_word	перейти х каталог проекта	перейти и каталог проекта|перейти в каталог проекта	перейти в каталог проекта
heldout	function_word	записать х журнал системы	записать и журнал системы|записать в журнал системы	записать в журнал системы
train	punctuation_order	система, маркер работает	система, однако работает|система, поэтому работает	система, однако работает
train	punctuation_order	модель, маркер отвечает	модель, однако отвечает|модель, поэтому отвечает	модель, однако отвечает
train	punctuation_order	процесс, маркер продолжается	процесс, однако продолжается|процесс, поэтому продолжается	процесс, однако продолжается
train	punctuation_order	проверка, маркер завершена	проверка, однако завершена|проверка, поэтому завершена	проверка, однако завершена
train	punctuation_order	результат: маркер запускаем	результат: однако запускаем|результат: поэтому запускаем	результат: поэтому запускаем
train	punctuation_order	ошибка: маркер повторяем	ошибка: однако повторяем|ошибка: поэтому повторяем	ошибка: поэтому повторяем
train	punctuation_order	ответ: маркер сохраняем	ответ: однако сохраняем|ответ: поэтому сохраняем	ответ: поэтому сохраняем
